type,name,size,i,time,verification
search,binary,2,0,0.000002,1
search,binary,2,1,0.000001,1
search,binary,2,2,0.000001,1
search,binary,2,3,0.000001,1
search,binary,2,4,0.000001,1
search,binary,2,5,0.000001,1
search,binary,2,6,0.000002,1
search,binary,2,7,0.000001,1
search,binary,2,8,0.000002,1
search,binary,2,9,0.000002,1
search,binary,4,0,0.000003,1
search,binary,4,1,0.000001,1
search,binary,4,2,0.000001,1
search,binary,4,3,0.000002,1
search,binary,4,4,0.000001,1
search,binary,4,5,0.000001,1
search,binary,4,6,0.000002,1
search,binary,4,7,0.000002,1
search,binary,4,8,0.000002,1
search,binary,4,9,0.000001,1
search,binary,8,0,0.000003,1
search,binary,8,1,0.000001,1
search,binary,8,2,0.000002,1
search,binary,8,3,0.000002,1
search,binary,8,4,0.000001,1
search,binary,8,5,0.000002,1
search,binary,8,6,0.000002,1
search,binary,8,7,0.000001,1
search,binary,8,8,0.000001,1
search,binary,8,9,0.000001,1
search,binary,16,0,0.000002,1
search,binary,16,1,0.000002,1
search,binary,16,2,0.000002,1
search,binary,16,3,0.000002,1
search,binary,16,4,0.000001,1
search,binary,16,5,0.000002,1
search,binary,16,6,0.000002,1
search,binary,16,7,0.000002,1
search,binary,16,8,0.000003,1
search,binary,16,9,0.000002,1
search,binary,32,0,0.000003,1
search,binary,32,1,0.000002,1
search,binary,32,2,0.000001,1
search,binary,32,3,0.000003,1
search,binary,32,4,0.000002,1
search,binary,32,5,0.000002,1
search,binary,32,6,0.000001,1
search,binary,32,7,0.000002,1
search,binary,32,8,0.000002,1
search,binary,32,9,0.000002,1
search,binary,64,0,0.000003,1
search,binary,64,1,0.000003,1
search,binary,64,2,0.000002,1
search,binary,64,3,0.000002,1
search,binary,64,4,0.000002,1
search,binary,64,5,0.000002,1
search,binary,64,6,0.000002,1
search,binary,64,7,0.000003,1
search,binary,64,8,0.000003,1
search,binary,64,9,0.000003,1
search,binary,128,0,0.000003,1
search,binary,128,1,0.000003,1
search,binary,128,2,0.000002,1
search,binary,128,3,0.000002,1
search,binary,128,4,0.000003,1
search,binary,128,5,0.000002,1
search,binary,128,6,0.000003,1
search,binary,128,7,0.000002,1
search,binary,128,8,0.000003,1
search,binary,128,9,0.000003,1
