type,name,size,i,time,verification
search,binary,8,5,0.000002,1
search,binary,8,6,0.000001,1
search,binary,8,7,0.000002,1
search,binary,8,8,0.000002,1
search,binary,8,9,0.000002,1
search,binary,16,0,0.000003,1
search,binary,16,1,0.000002,1
search,binary,16,2,0.000002,1
search,binary,16,3,0.000001,1
search,binary,16,4,0.000002,1
search,binary,16,5,0.000002,1
search,binary,16,6,0.000002,1
search,binary,16,7,0.000002,1
search,binary,16,8,0.000001,1
search,binary,16,9,0.000002,1
search,binary,32,0,0.000002,1
search,binary,32,1,0.000002,1
search,binary,32,2,0.000003,1
search,binary,32,3,0.000001,1
search,binary,32,4,0.000001,1
search,binary,32,5,0.000003,1
search,binary,32,6,0.000002,1
search,binary,32,7,0.000003,1
search,binary,32,8,0.000003,1
search,binary,32,9,0.000002,1
search,binary,64,0,0.000003,1
search,binary,64,1,0.000002,1
search,binary,64,2,0.000003,1
search,binary,64,3,0.000003,1
search,binary,64,4,0.000002,1
search,binary,64,5,0.000003,1
search,binary,64,6,0.000003,1
search,binary,64,7,0.000002,1
search,binary,64,8,0.000003,1
search,binary,64,9,0.000002,1
search,binary,128,0,0.000004,1
search,binary,128,1,0.000003,1
search,binary,128,2,0.000003,1
search,binary,128,3,0.000002,1
search,binary,128,4,0.000002,1
search,binary,128,5,0.000003,1
search,binary,128,6,0.000003,1
search,binary,128,7,0.000003,1
search,binary,128,8,0.000003,1
search,binary,128,9,0.000002,1
search,binary,256,0,0.000003,1
search,binary,256,1,0.000003,1
search,binary,256,2,0.000003,1
search,binary,256,3,0.000003,1
search,binary,256,4,0.000003,1
search,binary,256,5,0.000003,1
search,binary,256,6,0.000003,1
search,binary,256,7,0.000003,1
search,binary,256,8,0.000003,1
search,binary,256,9,0.000003,1
search,binary,512,0,0.000005,1
search,binary,512,1,0.000004,1
search,binary,512,2,0.000004,1
search,binary,512,3,0.000003,1
search,binary,512,4,0.000004,1
search,binary,512,5,0.000003,1
search,binary,512,6,0.000003,1
